% Model,Elec_field_sim3D_final_2.mph
% Version,COMSOL 5.2.1.229
% Date,"May 21 2024, 15:39"
% Dimension,1
% Nodes,197
% Expressions,1
% Description,Line graph
% cln1x,Height
0,-4.26671486061634
0.02093157208481955,-4.457130072771853
0.036769202408027724,-4.601205526149838
0.05246638325962394,-4.744003305981572
0.12312238067455183,-5.386763280402222
0.2870376385625377,-6.877905870160326
0.4493212905498112,-8.354205686404814
0.45053575454911865,-8.365253706073224
0.6244281096173516,-9.947158282966068
0.7594008321999475,-11.175009659901667
0.8497270304744262,-11.859710137695945
0.8671389494942865,-12.010181670721003
0.9011225539946324,-12.71783508637948
0.9296681889205587,-12.8948644959858
0.9321587770478601,-12.917461300404412
0.9373633763765881,-12.8234352884811
0.9509905400302578,-13.163922434546343
0.9921285634521624,-13.579261503615072
1.0061612537401778,-13.445378377570691
1.0316224244334542,-14.122374949143037
1.1127141799767202,-14.981561603923193
1.1620995171310113,-15.504811129606441
1.261231743825551,-16.53182666860923
1.2806655777051077,-16.739497690584486
1.3790422740455632,-17.79075650005027
1.5151393460999891,-19.245097327318632
1.556203642416019,-19.683912665326492
1.610894189432365,-20.26833887076082
1.6757760018595533,-20.9616695011384
1.6988756804000644,-21.20851394158913
1.7163620349452202,-21.395374091857047
1.9605566350391754,-24.00485107291261
2.011987375192586,-24.526815935702274
2.0433650144701616,-24.856068962296575
2.140028092354605,-25.87037761285572
2.147154325434162,-25.945154870280987
2.1486034562376233,-25.96036094422263
2.1559423169673586,-26.037369354116933
2.1757067086282085,-26.244761813300528
2.1872882843017507,-26.36629003948383
2.2020618361763127,-111.24312533891447
2.2252012615745684,-111.32351930187036
2.2291284645207092,-111.33716369462283
2.2766287835921553,-111.50219540245367
2.4380501820013123,-112.0630263522491
2.5041903530001406,-112.29281902711381
2.5159373044795608,-112.33363179432155
2.6584296740366007,-112.82869708148093
2.6888120797008632,-112.93425553651406
2.7305663145036974,-113.0793234605544
2.8155284324725507,-113.6940240591689
2.847009413621329,-112.41377862089851
2.935063162237963,-112.75319069513262
2.9416078741613774,-112.19948923829168
3.011301861535479,-114.52119934822298
3.0163762482971066,-114.91895797619463
3.0555778462312375,-114.42163416111941
3.151888218031214,-114.3860726528516
3.272370771603889,-114.34158584167118
3.5809102872385417,-114.22766113832827
3.62036733836036,-114.21309207143062
3.6231587340008566,-114.21206138037115
3.6526103942105905,-114.20118669015378
3.676185721662687,-114.19248176890352
3.6787056182197055,-114.19155132578953
3.7029899247158724,-114.18258462209917
3.7448405031502645,-114.16713177249234
3.9516546426162478,-114.09076800612881
4.025384701386727,-114.12371347419355
4.285522412283484,-112.88758228079709
4.311665772218532,-112.84030215067996
4.329339619862658,-112.80833908937636
4.344114964761175,-112.78161795517396
4.395815124428637,-112.68811848600747
4.46202077617604,-112.56838591005362
4.501704034521978,-112.49661894426475
4.606016950276473,-112.30796958006562
4.766245547470529,-112.01819699755725
4.8170236761305745,-112.2258476915192
5.033361649415479,-112.03711155696868
5.260652322132966,-111.83969541053409
5.302329759915967,-111.68164791466495
5.4430245960173025,-111.9128858059502
5.5007809007144814,-111.93415154669248
5.605208161707019,-112.02760283082415
5.627035038098988,-112.04713556210547
5.633000663119933,-112.05247416156283
5.8301263500398015,-112.22888067077258
5.900631353205949,-112.29197514458109
5.916234894105035,-112.30593865296152
5.92725730531275,-112.31580253784946
5.950740574556626,-112.33681756443937
5.968065511571108,-112.35232153913051
6.159471799365136,-112.60482076447047
6.191006123251487,-112.75597913869402
6.372254724479333,-113.62478621985034
6.488199891237393,-114.18056420226121
6.5651815490138965,-114.5495723432471
6.572981199576759,-114.58695962013452
6.580636456021356,-114.62365475025999
6.620582926955045,-114.81513637593486
6.944099945618699,-116.36590076686187
6.986490599788382,-116.56909847579854
7.400000000000006,-118.66495985512347
7.662183169626385,-120.15495959584905
7.821145766226209,-121.10927783756313
7.863238030601753,-121.36197511722423
7.874192423771959,-121.42773887205016
7.87869523743165,-121.45477112558888
7.924366339252781,-121.7289536472598
7.979671313045564,-122.06097228860597
7.986414367516183,-122.10145363468291
8.00407997382134,-122.20750757887178
8.18654950887916,-123.30294769867066
8.24473348337441,-123.34867171986559
8.335061527290392,-123.88865620666218
8.349728569341522,-123.930176388765
8.381396661071562,-124.01982397625127
8.428926605547247,-124.15437407456307
8.451701465162387,-124.21884626433757
8.50656453507873,-124.37415533385911
8.572312515393328,-124.5856744300047
8.624816241660916,-124.76205791529992
8.702404992196946,-124.91235216555879
8.704717543277411,-124.92100367352168
8.80151611417542,-125.28313777470942
8.802107155706793,-125.42278868667435
8.802974768797505,-125.42117280242249
8.803215927885553,-125.38377710508394
8.96023676264928,-125.16000085349322
8.967206018532025,-125.15006870684381
8.968477378619014,-125.1482568441365
8.974665961172335,-125.13943726418535
8.97575821660913,-125.1378806501989
9.006419605432278,-125.16022075881233
9.009521868522242,-125.15368400800139
9.047466058011636,-125.07373214569361
9.16599820611794,-124.93416579833577
9.200342309759094,-124.88646879950147
9.207977111897108,-124.87586560681139
9.337702785912683,-124.69570293938791
9.348333851694477,-124.68093854380339
9.400000000000013,-124.19115295034953
9.401333761172786,-124.18265095725201
9.414104639091882,-124.10124364226613
9.426687840902787,-124.02103265912228
9.455622609456391,-123.83658944129184
9.460286983140314,-123.80685662730684
9.480274795537703,-123.67853955823989
9.50845786904027,-123.50070120045984
9.511245218912762,-123.48365634518723
9.512181759220809,-123.4779293303709
9.532122177116705,-123.35599216685387
9.5588329058589,-123.19265404047633
9.566867828369155,-29.393336596755034
9.587601201266978,-29.223012790472694
9.595462841888022,-29.158429735858817
9.601149949346762,-29.111710381806006
9.663124589537723,-28.60259125959402
9.66802904973423,-28.562301320637175
9.679178982238781,-28.47070508333843
9.776897742601612,-27.667949482877702
9.778209020553795,-27.657177388391574
9.783027339161222,-27.61759509904914
9.791490136108415,-27.548073569921144
9.79895298085826,-27.510736869388893
9.808062243477956,-27.413031764559037
9.885375848025262,-26.8203891704984
9.921299868686468,-26.47646706434591
9.951827868141656,-26.263628721737405
9.978024445252231,-26.03271769197636
10.006115861521181,-25.785104508362565
10.038499744342737,-25.491385745732714
10.062657353674354,-25.283564864130994
10.085257329879909,-25.089143846936622
10.111333523527207,-24.864817942903656
10.118381798568116,-24.804183684246908
10.123876965102681,-24.75691036600756
10.193625772742408,-24.205726424389688
10.301284963013472,-23.068400280997423
10.303212032806265,-23.04804245692324
10.320820871130692,-22.86202032420323
10.40590370858505,-21.96319380370494
10.46181230202501,-21.37256791473453
10.489771160495579,-21.077206779303765
10.522045900664835,-20.736252090035805
10.539032087408664,-20.60768625476021
10.599020252980822,-19.982019051149337
10.6537469867611,-19.29512168631202
10.671076517412175,-19.10574292219414
10.678967791464657,-19.026426393922407
10.802420204142486,-17.85606343660129
10.808652590290237,-17.7869690517374
10.878192433139183,-17.016026341948418
10.883644650136262,-16.955581181681055
10.892472253213882,-16.732393560970195
11,-15.585113160962052
